Categoria;Nome Piatto;Nome Piatto TH;Descrizione;Descrizione TH;Prezzo Base (THB);Varianti (Prezzi);Extra Opzioni (Prezzi)
"Traditional Italian Pizza";"PIZZA HAWAIIAN";"พิซซ่าฮาวายเอี้ยน";"Tomato Sauce, Olive Oil, Ham, Pineapple, Mozzarella Cheese";"ซอสมะเขือเทศ, น้ำมันมะกอก, แฮม, สับปะรด, ชีสมอซซาเรลล่า";"290";"12"": 290฿, 8"": 190฿";"1 Egg Extra: +20฿, Anchovies Extra: +50฿, Artichoke Extra: +50฿, Bacon Extra: +50฿, Black Olives Extra: +40฿, Capers Extra: +40฿, Chicken Ham Extra: +50฿, Chicken Salame Extra: +50฿, Extra "" Mozzarella Cheese: +50฿, Fresh Tomato Extra: +20฿, Gorgonzola Extra: +50฿, Ham Extra: +50฿, Hotdog Extra: +50฿, Mushrooms Extra: +30฿, Onion/Garlic Extra: +20฿, Parmesan cheese 🧀: +20฿, Pesto Sauce Extra: +60฿, Pineapple Extra: +30฿, Salame Calabrese Extra: +50฿, Salame Extra: +50฿, Sausage Extra: +50฿, Sweet Bell Peppers Extra: +50฿, Tofu Extra: +50฿, Tuna Extra: +50฿, Vegetables Extra: +50฿"
"Traditional Italian Pizza";"PIZZA SALAME & GORGONZOLA";"พิซซ่าสลามีกอร์กอนโซล่า";"Tomato Sauce, Olive Oil, Salame, Gorgonzola, Mozzarella";"ซอสมะเขือเทศ, สลามี, กอร์กอนโซล่า, ชีสมอซซาเรลล่า";"320";"12"": 320฿, 8"": 210฿";"1 Egg Extra: +20฿, Anchovies Extra: +50฿, Artichoke Extra: +50฿, Bacon Extra: +50฿, Black Olives Extra: +40฿, Capers Extra: +40฿, Chicken Ham Extra: +50฿, Chicken Salame Extra: +50฿, Extra "" Mozzarella Cheese: +50฿, Fresh Tomato Extra: +20฿, Gorgonzola Extra: +50฿, Ham Extra: +50฿, Hotdog Extra: +50฿, Mushrooms Extra: +30฿, Onion/Garlic Extra: +20฿, Parmesan cheese 🧀: +20฿, Pesto Sauce Extra: +60฿, Pineapple Extra: +30฿, Salame Calabrese Extra: +50฿, Salame Extra: +50฿, Sausage Extra: +50฿, Sweet Bell Peppers Extra: +50฿, Tofu Extra: +50฿, Tuna Extra: +50฿, Vegetables Extra: +50฿"
"Traditional Italian Pizza";"PIZZA 4 FORMAGGI";"พิซซ่าชีสสี่ชนิด";"Mozzarella Cheese, Cheddar, Gorgonzola Cheese, Parmesan";"ชีสมอสซาเรลล่า,เชดดาร์, ชีสกอร์กอนโซล่า, พาร์เมซาน";"330";"12"" (4): 330฿, 8"" (4): 220฿";"1 Egg Extra: +20฿, Anchovies Extra: +50฿, Artichoke Extra: +50฿, Bacon Extra: +50฿, Black Olives Extra: +40฿, Capers Extra: +40฿, Chicken Ham Extra: +50฿, Chicken Salame Extra: +50฿, Extra "" Mozzarella Cheese: +50฿, Fresh Tomato Extra: +20฿, Gorgonzola Extra: +50฿, Ham Extra: +50฿, Hotdog Extra: +50฿, Mushrooms Extra: +30฿, Onion/Garlic Extra: +20฿, Parmesan cheese 🧀: +20฿, Pesto Sauce Extra: +60฿, Pineapple Extra: +30฿, Salame Calabrese Extra: +50฿, Salame Extra: +50฿, Sausage Extra: +50฿, Sweet Bell Peppers Extra: +50฿, Tofu Extra: +50฿, Tuna Extra: +50฿, Vegetables Extra: +50฿"
"Traditional Italian Pizza";"PIZZA 4 STAGIONI";"พิซซ่าคาโวร์สตาจิโอเน";"Tomato Sauce, Ham, Mushrooms, Artichokes, Olives, Mozzarella";"ซอสมะเขือเทศ, แฮม, เห็ด, อาร์ติโชค, มะกอก, ชีสมอซซาเรลล่า";"350";"12"" (4): 350฿, 8"" (4): 240฿";"1 Egg Extra: +20฿, Anchovies Extra: +50฿, Artichoke Extra: +50฿, Bacon Extra: +50฿, Black Olives Extra: +40฿, Capers Extra: +40฿, Chicken Ham Extra: +50฿, Chicken Salame Extra: +50฿, Extra "" Mozzarella Cheese: +50฿, Fresh Tomato Extra: +20฿, Gorgonzola Extra: +50฿, Ham Extra: +50฿, Hotdog Extra: +50฿, Mushrooms Extra: +30฿, Onion/Garlic Extra: +20฿, Parmesan cheese 🧀: +20฿, Pesto Sauce Extra: +60฿, Pineapple Extra: +30฿, Salame Calabrese Extra: +50฿, Salame Extra: +50฿, Sausage Extra: +50฿, Sweet Bell Peppers Extra: +50฿, Tofu Extra: +50฿, Tuna Extra: +50฿, Vegetables Extra: +50฿"
"Traditional Italian Pizza";"PIZZA CAPRICCIOSA";"พิซซ่าคาปริโชซ่า";"Tomato Sauce, Ham, Mushrooms, Artichokes, Olives, Mozzarella";"ซอสมะเขือเทศ, แฮม, เห็ด, อาร์ติโชค, มะกอก, ชีสมอซซาเรลล่า";"350";"12"": 350฿, 8"": 240฿";"1 Egg Extra: +20฿, Anchovies Extra: +50฿, Artichoke Extra: +50฿, Bacon Extra: +50฿, Black Olives Extra: +40฿, Capers Extra: +40฿, Chicken Ham Extra: +50฿, Chicken Salame Extra: +50฿, Extra "" Mozzarella Cheese: +50฿, Fresh Tomato Extra: +20฿, Gorgonzola Extra: +50฿, Ham Extra: +50฿, Hotdog Extra: +50฿, Mushrooms Extra: +30฿, Onion/Garlic Extra: +20฿, Parmesan cheese 🧀: +20฿, Pesto Sauce Extra: +60฿, Pineapple Extra: +30฿, Salame Calabrese Extra: +50฿, Salame Extra: +50฿, Sausage Extra: +50฿, Sweet Bell Peppers Extra: +50฿, Tofu Extra: +50฿, Tuna Extra: +50฿, Vegetables Extra: +50฿"
"Traditional Italian Pizza";"PIZZA FLOWER POWER";"พิซซ่าฟลาวเวอร์พาวเวอร์";"Italian Sausage, Artichokes, Gorgonzola, Mozzarella";"ไส้กรอกอิตาลี, อาร์ติโชค, ชีสกอร์กอนโซล่า, ชีสมอสซาเรลล่า";"350";"12"": 350฿, 8"": 240฿";"1 Egg Extra: +20฿, Anchovies Extra: +50฿, Artichoke Extra: +50฿, Bacon Extra: +50฿, Black Olives Extra: +40฿, Capers Extra: +40฿, Chicken Ham Extra: +50฿, Chicken Salame Extra: +50฿, Extra "" Mozzarella Cheese: +50฿, Fresh Tomato Extra: +20฿, Gorgonzola Extra: +50฿, Ham Extra: +50฿, Hotdog Extra: +50฿, Mushrooms Extra: +30฿, Onion/Garlic Extra: +20฿, Parmesan cheese 🧀: +20฿, Pesto Sauce Extra: +60฿, Pineapple Extra: +30฿, Salame Calabrese Extra: +50฿, Salame Extra: +50฿, Sausage Extra: +50฿, Sweet Bell Peppers Extra: +50฿, Tofu Extra: +50฿, Tuna Extra: +50฿, Vegetables Extra: +50฿"
"Traditional Italian Pizza";"PIZZA PUTTANESCA";"พิซซ่าพุตตาเนสกา";"Tomato Sauce, Salty Anchovies, Capers, Olives, Mozzarella";"มะเขือเทศ, ปลาแอนโชวี่เค็ม,เคเปอร์, มะกอก, ชีสมอสซาเรลล่า";"350";"12"": 350฿, 8"": 240฿";"1 Egg Extra: +20฿, Anchovies Extra: +50฿, Artichoke Extra: +50฿, Bacon Extra: +50฿, Black Olives Extra: +40฿, Capers Extra: +40฿, Chicken Ham Extra: +50฿, Chicken Salame Extra: +50฿, Extra "" Mozzarella Cheese: +50฿, Fresh Tomato Extra: +20฿, Gorgonzola Extra: +50฿, Ham Extra: +50฿, Hotdog Extra: +50฿, Mushrooms Extra: +30฿, Onion/Garlic Extra: +20฿, Parmesan cheese 🧀: +20฿, Pesto Sauce Extra: +60฿, Pineapple Extra: +30฿, Salame Calabrese Extra: +50฿, Salame Extra: +50฿, Sausage Extra: +50฿, Sweet Bell Peppers Extra: +50฿, Tofu Extra: +50฿, Tuna Extra: +50฿, Vegetables Extra: +50฿"
"Traditional Italian Pizza";"PIZZA SEAFOOD";"พิซซ่าซีฟู้ด";"Tomato Sauce, Olive Oil, Garlic, Seafood";"ซอสมะเขือเทศ, น้ำมันมะกอก, กระเทียม, ซีฟู้ด";"350";"12"": 350฿, 8"": 240฿";"1 Egg Extra: +20฿, Anchovies Extra: +50฿, Artichoke Extra: +50฿, Bacon Extra: +50฿, Black Olives Extra: +40฿, Capers Extra: +40฿, Chicken Ham Extra: +50฿, Chicken Salame Extra: +50฿, Extra "" Mozzarella Cheese: +50฿, Fresh Tomato Extra: +20฿, Gorgonzola Extra: +50฿, Ham Extra: +50฿, Hotdog Extra: +50฿, Mushrooms Extra: +30฿, Onion/Garlic Extra: +20฿, Parmesan cheese 🧀: +20฿, Pesto Sauce Extra: +60฿, Pineapple Extra: +30฿, Salame Calabrese Extra: +50฿, Salame Extra: +50฿, Sausage Extra: +50฿, Sweet Bell Peppers Extra: +50฿, Tofu Extra: +50฿, Tuna Extra: +50฿, Vegetables Extra: +50฿"
"Traditional Italian Pizza";"PIZZA STELLA";"พิซซ่าดาว";"German Sausage, Bacon, Gorgonzola, Egg, Mozzarella";"ฮ็อตด็อก, เบคอน, ชีสกอร์กอนโซล่า, ไข่, ชีสมอสซาเรลล่า";"350";"12"": 350฿, 8"": 240฿";"1 Egg Extra: +20฿, Anchovies Extra: +50฿, Artichoke Extra: +50฿, Bacon Extra: +50฿, Black Olives Extra: +40฿, Capers Extra: +40฿, Chicken Ham Extra: +50฿, Chicken Salame Extra: +50฿, Extra "" Mozzarella Cheese: +50฿, Fresh Tomato Extra: +20฿, Gorgonzola Extra: +50฿, Ham Extra: +50฿, Hotdog Extra: +50฿, Mushrooms Extra: +30฿, Onion/Garlic Extra: +20฿, Parmesan cheese 🧀: +20฿, Pesto Sauce Extra: +60฿, Pineapple Extra: +30฿, Salame Calabrese Extra: +50฿, Salame Extra: +50฿, Sausage Extra: +50฿, Sweet Bell Peppers Extra: +50฿, Tofu Extra: +50฿, Tuna Extra: +50฿, Vegetables Extra: +50฿"
"Pasta";"SPAGHETTI AGLIO E OLIO";"สปาเกตตี้ อาลิโอ เอ โอลิโอ";"Olive Oil, Garlic, Fresh Chili, Parmesan Cheese";"น้ำมันมะกอก, กระเทียม, พริกสด, ชีสพาร์เมซาน";"110";"";""
"Pasta";"PENNE AGLIO E OLIO";"เพนเน่ อาลิโอ เอ โอลิโอ";"Olive Oil, Garlic, Fresh Chili, Parmesan Cheese";"น้ำมันมะกอก, กระเทียม, พริกสด, ชีสพาร์เมซาน";"110";"";""
"Pasta";"TAGLIATELLE AGLIO E OLIO";"ทาเกรียเทลล่า พริกกระเทียม";"Olive Oil, Garlic, Fresh Chili, Parmesan Cheese";"น้ำมันมะกอก, กระเทียม, พริกสด, ชีสพาร์เมซาน";"130";"";""
"Pasta";"GNOCCHI AGLIO E OLIO";"ญอคคี พริกกระเทียม";"Olive Oil, Garlic, Fresh Chili, Parmesan Cheese";"น้ำมันมะกอก, กระเทียม, พริกสด, ชีสพาร์เมซาน";"150";"";""
"Pasta";"RAVIOLI AGLIO E OLIO";"ราวิโอลี พริกกระเทียม";"Olive Oil, Garlic, Fresh Chili, Parmesan Cheese";"น้ำมันมะกอก, กระเทียม, พริกสด, ชีสพาร์เมซาน";"190";"";""
"Pasta";"SPAGHETTI AL POMODORO";"สปาเกตตี้ อัล โพโมโดโร่";"Tomato Sauce, Olive Oil, Oregano, Basil, Parmesan Cheese";"ซอสมะเขือเทศ, น้ำมันมะกอก, ออริกาโน, โหระพา, พาร์เมซานชีส";"150";"";""
"Pasta";"PENNE AL POMODORO";"เพนเน่ อัล โพโมโดโร่";"Tomato Sauce, Olive Oil, Oregano, Basil, Parmesan Cheese";"ซอสมะเขือเทศ, น้ำมันมะกอก, ออริกาโน, โหระพา, พาร์เมซานชีส";"150";"";""
"Pasta";"TAGLIATELLE AL POMODORO";"ทาเกรียเทลล่า อัล มะเขือเทศ";"Tomato Sauce, Olive Oil, Oregano, Basil, Parmesan Cheese";"ซอสมะเขือเทศ, น้ำมันมะกอก, ออริกาโน, โหระพา, พาร์เมซานชีส";"170";"";""
"Pasta";"GNOCCHI AL POMODORO";"ญอคคี อัล มะเขือเทศ";"Tomato Sauce, Olive Oil, Oregano, Basil, Parmesan Cheese";"ซอสมะเขือเทศ, น้ำมันมะกอก, ออริกาโน, โหระพา, พาร์เมซานชีส";"190";"";""
"Pasta";"RAVIOLI AL POMODORO";"ราวิโอลี อัล มะเขือเทศ";"Tomato Sauce, Olive Oil, Oregano, Basil, Parmesan Cheese";"ซอสมะเขือเทศ, น้ำมันมะกอก, ออริกาโน, โหระพา, พาร์เมซานชีส";"230";"";""
"Pasta";"SPAGHETTI AL PESTO";"สปาเกตตี้ อัล เพสโต้";"Basil, Garlic, Cashew Nuts, Olive Oil, Pecorino Romano, Parmesan Cheese";"โหระพา, กระเทียม, เม็ดมะม่วง, น้ำมันมะกอก, ชีสเปโคริโน, ชีสพาร์เมซาน";"150";"";""
"Pasta";"PENNE AL PESTO";"เพนเน่ อัล เพสโต้";"Basil, Garlic, Cashew Nuts, Olive Oil, Pecorino Romano, Parmesan Cheese";"โหระพา, กระเทียม, เม็ดมะม่วง, น้ำมันมะกอก, ชีสเปโคริโน, ชีสพาร์เมซาน";"150";"";""
"Pasta";"TAGLIATELLE AL PESTO";"ทาเกรียเทลล่า อัล เพสโต้";"Basil, Garlic, Cashew Nuts, Olive Oil, Pecorino Romano, Parmesan Cheese";"โหระพา, กระเทียม, เม็ดมะม่วง, น้ำมันมะกอก, ชีสเปโคริโน, ชีสพาร์เมซาน";"170";"";""
"Pasta";"GNOCCHI AL PESTO";"ญอคคี อัล เพสโต้";"Basil, Garlic, Cashew Nuts, Olive Oil, Pecorino Romano, Parmesan Cheese";"โหระพา, กระเทียม, เม็ดมะม่วง, น้ำมันมะกอก, ชีสเปโคริโน, ชีสพาร์เมซาน";"190";"";""
"Pasta";"RAVIOLI AL PESTO";"ราวิโอลี อัล เพสโต้";"Basil, Garlic, Cashew Nuts, Olive Oil, Pecorino Romano, Parmesan Cheese";"โหระพา, กระเทียม, เม็ดมะม่วง, น้ำมันมะกอก, ชีสเปโคริโน, ชีสพาร์เมซาน";"230";"";""
"Pasta";"SPAGHETTI AMATRICIANA";"สปาเกตตี้ อามาทริเซียน่า";"Tomato Sauce, Guanciale, Olive Oil, Pecorino Romano, Parmesan Cheese";"ซอสมะเขือเทศ, หมูแก้ม, น้ำมันมะกอก, ชีสเปโคริโน, ชีสพาร์เมซาน";"160";"";""
"Pasta";"PENNE AMATRICIANA";"เพนเน่ อามาทริเซียน่า";"Tomato Sauce, Guanciale, Olive Oil, Pecorino Romano, Parmesan Cheese";"ซอสมะเขือเทศ, หมูแก้ม, น้ำมันมะกอก, ชีสเปโคริโน, ชีสพาร์เมซาน";"160";"";""
"Pasta";"TAGLIATELLE AMATRICIANA";"ทาเกรียเทลล่า อามาทริเซียน่า";"Tomato Sauce, Guanciale, Olive Oil, Pecorino Romano, Parmesan Cheese";"ซอสมะเขือเทศ, หมูแก้ม, น้ำมันมะกอก, ชีสเปโคริโน, ชีสพาร์เมซาน";"180";"";""
"Pasta";"GNOCCHI AMATRICIANA";"ญอคคี อามาทริเซียน่า";"Tomato Sauce, Guanciale, Olive Oil, Pecorino Romano, Parmesan Cheese";"ซอสมะเขือเทศ, หมูแก้ม, น้ำมันมะกอก, ชีสเปโคริโน, ชีสพาร์เมซาน";"200";"";""
"Pasta";"RAVIOLI AMATRICIANA";"ราวิโอลี อามาทริเซียน่า";"Tomato Sauce, Guanciale, Olive Oil, Pecorino Romano, Parmesan Cheese";"ซอสมะเขือเทศ, หมูแก้ม, น้ำมันมะกอก, ชีสเปโคริโน, ชีสพาร์เมซาน";"240";"";""
"Pasta";"SPAGHETTI ALLA BOLOGNESE";"สปาเกตตี้ อัลลา โบโลเนเซ่";"Tomato Sauce, Pork, Olive Oil, Parmesan Cheese, Spices";"ซอสมะเขือเทศ, หมูสับ, น้ำมันมะกอก, ชีสพาร์เมซาน, เครื่องเทศ";"180";"";""
"Pasta";"PENNE ALLA BOLOGNESE";"เพนเน่ อัลลา โบโลเนเซ่";"Tomato Sauce, Pork, Olive Oil, Parmesan Cheese, Spices";"ซอสมะเขือเทศ, หมูสับ, น้ำมันมะกอก, ชีสพาร์เมซาน, เครื่องเทศ";"180";"";""
"Pasta";"TAGLIATELLE ALLA BOLOGNESE";"ทาเกรียเทลล่า อัลลา โบโลเนส";"Tomato Sauce, Pork, Olive Oil, Parmesan Cheese, Spices";"ซอสมะเขือเทศ, หมูสับ, น้ำมันมะกอก, ชีสพาร์เมซาน, เครื่องเทศ";"200";"";""
"Pasta";"GNOCCHI ALLA BOLOGNESE";"ญอคคี อัลลา โบโลเนส";"Tomato Sauce, Pork, Olive Oil, Parmesan Cheese, Spices";"ซอสมะเขือเทศ, หมูสับ, น้ำมันมะกอก, ชีสพาร์เมซาน, เครื่องเทศ";"220";"";""
"Pasta";"RAVIOLI ALLA BOLOGNESE";"ราวิโอลี อัลลา โบโลเนส";"Tomato Sauce, Pork, Olive Oil, Parmesan Cheese, Spices";"ซอสมะเขือเทศ, หมูสับ, น้ำมันมะกอก, ชีสพาร์เมซาน, เครื่องเทศ";"260";"";""
"Pasta";"SPAGHETTI ALLA CARBONARA";"สปาเกตตี้ อัลลา คาร์โบนารา";"Egg, Guanciale, Olive Oil, Pecorino Romano, Parmesan Cheese";"ไข่, หมูแก้ม, น้ำมันมะกอก, ชีสเปโคริโน, ชีสพาร์เมซาน";"180";"";""
"Pasta";"PENNE ALLA CARBONARA";"เพนเน่ อัลลา คาร์โบนารา";"Egg, Guanciale, Olive Oil, Pecorino Romano, Parmesan Cheese";"ไข่, หมูแก้ม, น้ำมันมะกอก, ชีสเปโคริโน, ชีสพาร์เมซาน";"180";"";""
"Pasta";"TAGLIATELLE ALLA CARBONARA";"ทาเกรียเทลล่า อัลลา คาร์โบนารา";"Egg, Guanciale, Olive Oil, Pecorino Romano, Parmesan Cheese";"ไข่, หมูแก้ม, น้ำมันมะกอก, ชีสเปโคริโน, ชีสพาร์เมซาน";"200";"";""
"Pasta";"GNOCCHI ALLA CARBONARA";"ญอคคี อัลลา คาร์โบนารา";"Egg, Guanciale, Olive Oil, Pecorino Romano, Parmesan Cheese";"ไข่, หมูแก้ม, น้ำมันมะกอก, ชีสเปโคริโน, ชีสพาร์เมซาน";"220";"";""
"Pasta";"RAVIOLI ALLA CARBONARA";"ราวิโอลี อัลลา คาร์โบนารา";"Egg, Guanciale, Olive Oil, Pecorino Romano, Parmesan Cheese";"ไข่, หมูแก้ม, น้ำมันมะกอก, ชีสเปโคริโน, ชีสพาร์เมซาน";"260";"";""
"Pasta";"SPAGHETTI 4 FORMAGGI";"สปาเก็ตตี้ 4 ชีส";"Gorgonzola Cheese, Parmisan, Mozzarella, Kitchen Cream";"กอร์กอนโซลา, พาร์มีจาโน, มอซซาเรลลา, ครีมทำอาหาร";"200";"";""
"Pasta";"PENNE 4 FORMAGGI";"เพนเน่ 4 ชีส";"Gorgonzola Cheese, Parmisan, Mozzarella, Kitchen Cream";"กอร์กอนโซลา, พาร์มีจาโน, มอซซาเรลลา, ครีมทำอาหาร";"200";"";""
"Pasta";"TAGLIATELLE 4 FORMAGGI";"ทาเกรียเทลล่า 4 ชีส";"Gorgonzola Cheese, Parmisan, Mozzarella, Kitchen Cream";"กอร์กอนโซลา, พาร์มีจาโน, มอซซาเรลลา, ครีมทำอาหาร";"220";"";""
"Pasta";"GNOCCHI 4 FORMAGGI";"ญอคคี 4 ชีส";"Gorgonzola Cheese, Parmisan, Mozzarella, Kitchen Cream";"กอร์กอนโซลา, พาร์มีจาโน, มอซซาเรลลา, ครีมทำอาหาร";"240";"";""
"Pasta";"RAVIOLI 4 FORMAGGI";"ราวิโอลี 4 ชีส";"Gorgonzola Cheese, Parmisan, Mozzarella, Kitchen Cream";"กอร์กอนโซลา, พาร์มีจาโน, มอซซาเรลลา, ครีมทำอาหาร";"280";"";""
"Pasta";"SPAGHETTI FLOWER POWER";"สปาเกตตี้ ฟลาวเวอร์ พาวเวอร์";"Italian Sausage, Artichokes, Gorgonzola Cheese, Black Pepper";"ไส้กรอกอิตาเลียน, อาติโช๊ค, กอร์กอนโซล่าชีส, พริกไทยดำ";"230";"";""
"Pasta";"PENNE FLOWER POWER";"เพนเน่ ฟลาวเวอร์ พาวเวอร์";"Italian Sausage, Artichokes, Gorgonzola Cheese, Black Pepper";"ไส้กรอกอิตาเลียน, อาติโช๊ค, กอร์กอนโซล่าชีส, พริกไทยดำ";"230";"";""
"Pasta";"TAGLIATELLE FLOWER POWER";"ทาเกรียเทลล่า ฟลาวเวอร์ พาวเวอร์";"Italian Sausage, Artichokes, Gorgonzola Cheese, Black Pepper";"ไส้กรอกอิตาเลียน, อาติโช๊ค, กอร์กอนโซล่าชีส, พริกไทยดำ";"250";"";""
"Pasta";"GNOCCHI FLOWER POWER";"ญอคคี ฟลาวเวอร์ พาวเวอร์";"Italian Sausage, Artichokes, Gorgonzola Cheese, Black Pepper";"ไส้กรอกอิตาเลียน, อาติโช๊ค, กอร์กอนโซล่าชีส, พริกไทยดำ";"270";"";""
"Pasta";"RAVIOLI FLOWER POWER";"ราวิโอลี ฟลาวเวอร์ พาวเวอร์";"Italian Sausage, Artichokes, Gorgonzola Cheese, Black Pepper";"ไส้กรอกอิตาเลียน, อาติโช๊ค, กอร์กอนโซล่าชีส, พริกไทยดำ";"310";"";""
"Pasta";"BAKED BOLOGNESE LASAGNA";"ลาซานญ่าอบซอสโบโลเนส";"Béchamel, Bolognese Sauce, Parmesan";"เบชาเมล, ซอสโบโลเนส, พาร์เมซาน";"250";"";""
"Pasta";"BAKED PESTO LASAGNA";"ลาซานญ่าอบเพสโต้";"Béchamel, Pesto Sauce, Parmesan";"เบชาเมล, ซอสเพสโต้, พาร์เมซาน";"270";"";""
"Pasta";"BAKED SEAFOOD LASAGNA";"ลาซานญ่าอบซีฟู้ด";"Béchamel, Seafood, Parmesan";"เบชาเมล, ซีฟู้ด, พาร์เมซาน";"290";"";""
"Italian Salads";"EGG AND VEGETABLE SALAD";"สลัดไข่และผัก";"2 Boiled Eggs, Cabbage, Cucumber, Tomato, Onions, Mayonnaise, Yogurt Dressing";"ไข่ต้มสุก 2 ฟอง, กะหล่ำปลี, แตงกวา, มะเขือเทศ, หัวหอม, มายองเนส, น้ำสลัดโยเกิร์ต";"130";"";"Chicken Extra: +40฿"
"Italian Salads";"POTATO SALAD";"สลัดมันฝรั่ง";"Tuna, Boiled Potatoes, 1 Boiled Egg, Cabbage, Tomato, Onions, Yogurt Dressing";"ทูน่า, มันฝรั่งต้ม, ไข่ต้ม 1 ฟอง, กะหล่ำปลี, มะเขือเทศ, หัวหอม, น้ำสลัดโยเกิร์ต";"160";"";"Chicken Extra: +40฿"
"Italian Salads";"CHICKEN SALAD";"สลัดไก่";"Boiled Chicken, Tomato, Cabbage, Carrots, Cucumber, Mustard, Yogurt Dressing";"ไก่ต้ม, มะเขือเทศ, กะหล่ำปลี, แครอท, แตงกวา, มัสตาร์ด, เสิร์ฟพร้อมน้ำสลัดโยเกิร์ต";"190";"";"Chicken Extra: +40฿"
"Italian Salads";"TUNA AND EGG SALAD";"สลัดทูน่าและไข่";"Tuna, 2 Boiled Eggs, Cabbage, Tomato, Cucumber, Onion, Yogurt Dressing";"ทูน่า, ไข่ต้ม 2 ฟอง, กะหล่ำปลี, มะเขือเทศ, แตงกวา, หัวหอม, โยเกิร์ต, น้ำสลัด";"190";"";"Chicken Extra: +40฿"
"Pizza Sandwich";"PIZZA SANDWICH PARMA HAM";"พิซซ่าแซนด์วิช พาร์ม่าแฮม";"Parma Cooked Ham, Mozzarella Cheese, Lettuce, Fresh Tomato, Sauces";"แฮมอบสไตล์พาร์ม่า, มอซซาเรลล่าชีส, ผักกาดหอม, มะเขือเทศสด, ซอสตามที่เลือก";"180";"";""
"Pizza Sandwich";"PIZZA SANDWICH SALAME";"พิซซ่าแซนด์วิช ซาลามี่";"Salami, Mozzarella Cheese, Lettuce, Fresh Tomato, Sauces";"ซาลามี่, มอซซาเรลล่าชีส, ผักกาดหอม, มะเขือเทศสด, ซอสตามที่เลือก";"180";"";""
"Pizza Sandwich";"PIZZA SANDWICH SPICY SALAME";"พิซซ่าแซนด์วิช ซาลามี่เผ็ด";"Spicy Salami, Mozzarella Cheese, Lettuce, Fresh Tomato, Sauces";"ซาลามี่เผ็ด, มอซซาเรลล่าชีส, ผักกาดหอม, มะเขือเทศสด, ซอสตามที่เลือก";"200";"";""
"Pizza Burgers";"CHICKEN PIZZA BURGER WITH FRENCH FRIES";"พิซซ่าเบอร์เกอร์ไก่พร้อมมันฝรั่งทอด";"";"";"180";"";""
"Pizza Burgers";"PORK PIZZA BURGER WITH FRENCH FRIES";"พิซซ่าเบอร์เกอร์หมูพร้อมมันฝรั่งทอด";"";"";"180";"";""
"Pizza Burgers";"BEEF PIZZA BURGER WITH FRENCH FRIES";"พิซซ่าเบอร์เกอร์เนื้อวัวพร้อมมันฝรั่งทอด";"";"";"220";"";""
"Pizza Burgers";"FISH PIZZA BURGER WITH FRENCH FRIES";"พิซซ่าเบอร์เกอร์ปลา พร้อมมันฝรั่งทอด";"";"";"210";"";""
"Pizza Burgers";"CHEESE PIZZA BURGER WITH FRENCH FRIES";"พิซซ่าเบอร์เกอร์ชีสพร้อมมันฝรั่งทอด";"";"";"210";"";""
"French Fries";"FRENCH FRIES";"มันฝรั่งทอด";"";"";"90";"";""
"French Fries";"SAUSAGES & FRENCH FRIES";"ไส้กรอก & มันฝรั่งทอด";"";"";"160";"";""
"French Fries";"ONION RINGS & FRENCH FRIES";"หอมทอดกรอบ & มันฝรั่งทอด";"";"";"190";"";""
"French Fries";"CHICKEN NUGGETS & FRENCH FRIES";"นักเก็ตไก่ & มันฝรั่งทอด";"";"";"220";"";""
"French Fries";"FISH NUGGETS & FRENCH FRIES";"นักเก็ตปลา & มันฝรั่งทอด";"";"";"250";"";""
"Desserts";"AFFOGATO AL CAFFÈ";"อัฟโฟกาโต้อัลคาเฟ่";"";"";"130";"";""
"Desserts";"CAKE OF THE DAY";"เค้กประจำวัน";"";"";"90";"";""
"Desserts";"TIRAMISU";"ทีรามิสุ";"";"";"90";"";""
"Desserts";"CREPES";"เครป";"";"";"150";"Banana: 150฿, Normal: 120฿";""
"Desserts";"PANCAKE";"แพนเค้ก";"";"";"210";"Banana: 210฿, Normal: 180฿";""
"Breakfast And Snacks";"ITALIAN BREAKFAST";"อาหารเช้าแบบอิตาเลียน";"Cake of the Day, Cappuccino, Fruit Juice";"เค้กประจำวัน, คาปูชิโน่, น้ำผลไม้";"170";"";""
"Breakfast And Snacks";"AMERICAN BREAKFAST";"อาหารเช้าแบบอเมริกัน";"2 Fried Eggs, Bacon, Butter, Jam, Coffee, Fruit Juice, 2 Toasted Slices";"ไข่ดาว 2 ฟอง, เบคอน, เนย, แยม, กาแฟ, น้ำผลไม้, ขนมปัง 2 แผ่น";"190";"";""
"Breakfast And Snacks";"EGGS & BACON";"ไข่และเบคอน";"2 Fried Eggs, Bacon, 1 Toasted Slice";"ไข่ดาว 2 ฟอง, เบคอน, ขนมปัง 1 แผ่น";"110";"";""
"Breakfast And Snacks";"BUTTER & JAM";"เนยและแยม";"2 Toasted Slices, Jam and Butter";"ขนมปัง 2 แผ่น, แยม และ เนย";"70";"";""
"Breakfast And Snacks";"NUTELLA BREAD";"ขนมปังนูเทลล่า";"2 Toasted Slices Spread With Nutella";"ขนมปัง 2 แผ่น ทานูเทลล่า";"90";"";""
"Breakfast And Snacks";"ITALIAN TOAST";"อิตาเลียนโทสต์";"2 Toasted Slices Filled With Ham And Cheese";"ขนมปัง 2 แผ่น สอดไส้แฮมและชีส";"90";"";""
