Categoria;Nome Piatto;Nome Piatto TH;Descrizione;Descrizione TH;Prezzo Base (THB);Varianti (Prezzi);Extra Opzioni (Prezzi)
"Traditional Italian Pizza";"PIZZA WURSTEL";"พิซซ่าใส้กรอกเยอรมัน";"Tomato Sauce, German Sausage, Mozzarella Cheese";"ซอสมะเขือเทศ, ไส้กรอกเยอรมัน, ชีสมอซซาเรลล่า";"250";"12"": 250฿, 8"": 160฿";"1 Egg Extra: +20฿, Anchovies Extra: +50฿, Artichoke Extra: +50฿, Bacon Extra: +50฿, Black Olives Extra: +40฿, Capers Extra: +40฿, Chicken Ham Extra: +50฿, Chicken Salame Extra: +50฿, Extra "" Mozzarella Cheese: +50฿, Fresh Tomato Extra: +20฿, Gorgonzola Extra: +50฿, Ham Extra: +50฿, Hotdog Extra: +50฿, Mushrooms Extra: +30฿, Onion/Garlic Extra: +20฿, Parmesan cheese 🧀: +20฿, Pesto Sauce Extra: +60฿, Pineapple Extra: +30฿, Salame Calabrese Extra: +50฿, Salame Extra: +50฿, Sausage Extra: +50฿, Sweet Bell Peppers Extra: +50฿, Tofu Extra: +50฿, Tuna Extra: +50฿, Vegetables Extra: +50฿"
"Traditional Italian Pizza";"CALZONE HAM & CHEESE";"คัลโซเน่แฮมและชีส";"Tomato Sauce, Ham, Mozzarella Cheese";"ซอสมะเขือเทศ, แฮม, ชีสมอสซาเรลล่า";"250";"12"": 250฿, 8"": 165฿";"1 Egg Extra: +20฿, Anchovies Extra: +50฿, Artichoke Extra: +50฿, Bacon Extra: +50฿, Black Olives Extra: +40฿, Capers Extra: +40฿, Chicken Ham Extra: +50฿, Chicken Salame Extra: +50฿, Extra "" Mozzarella Cheese: +50฿, Fresh Tomato Extra: +20฿, Gorgonzola Extra: +50฿, Ham Extra: +50฿, Hotdog Extra: +50฿, Mushrooms Extra: +30฿, Onion/Garlic Extra: +20฿, Parmesan cheese 🧀: +20฿, Pesto Sauce Extra: +60฿, Pineapple Extra: +30฿, Salame Calabrese Extra: +50฿, Salame Extra: +50฿, Sausage Extra: +50฿, Sweet Bell Peppers Extra: +50฿, Tofu Extra: +50฿, Tuna Extra: +50฿, Vegetables Extra: +50฿"
"Traditional Italian Pizza";"PIZZA SALAME";"พิซซ่าสลามี";"Tomato Sauce, Olive Oil, Salame, Mozzarella Cheese";"ซอสมะเขือเทศ, น้ำมันมะกอก, สลามี, ชีสมอซซาเรลล่า";"250";"12"": 250฿, 12"" (Gorgonzola): 320฿, 12"" (Calabrese): 250฿, 8"": 160฿, 8"" (Gorgonzola): 210฿, 8"" (Calabrese): 160฿";"1 Egg Extra: +20฿, Anchovies Extra: +50฿, Artichoke Extra: +50฿, Bacon Extra: +50฿, Black Olives Extra: +40฿, Capers Extra: +40฿, Chicken Ham Extra: +50฿, Chicken Salame Extra: +50฿, Extra "" Mozzarella Cheese: +50฿, Fresh Tomato Extra: +20฿, Gorgonzola Extra: +50฿, Ham Extra: +50฿, Hotdog Extra: +50฿, Mushrooms Extra: +30฿, Onion/Garlic Extra: +20฿, Parmesan cheese 🧀: +20฿, Pesto Sauce Extra: +60฿, Pineapple Extra: +30฿, Salame Calabrese Extra: +50฿, Salame Extra: +50฿, Sausage Extra: +50฿, Sweet Bell Peppers Extra: +50฿, Tofu Extra: +50฿, Tuna Extra: +50฿, Vegetables Extra: +50฿"
"Traditional Italian Pizza";"PIZZA SALAME CALABRESE";"พิซซ่าสลามีคาลาเบรี";"Tomato Sauce, Olive Oil, Spicy Salame, Mozzarella Cheese";"ซอสมะเขือเทศ, น้ำมันมะกอก, สลามีเผ็ด, ชีสมอซซาเรลล่า";"250";"12"": 250฿, 8"": 160฿";"1 Egg Extra: +20฿, Anchovies Extra: +50฿, Artichoke Extra: +50฿, Bacon Extra: +50฿, Black Olives Extra: +40฿, Capers Extra: +40฿, Chicken Ham Extra: +50฿, Chicken Salame Extra: +50฿, Extra "" Mozzarella Cheese: +50฿, Fresh Tomato Extra: +20฿, Gorgonzola Extra: +50฿, Ham Extra: +50฿, Hotdog Extra: +50฿, Mushrooms Extra: +30฿, Onion/Garlic Extra: +20฿, Parmesan cheese 🧀: +20฿, Pesto Sauce Extra: +60฿, Pineapple Extra: +30฿, Salame Calabrese Extra: +50฿, Salame Extra: +50฿, Sausage Extra: +50฿, Sweet Bell Peppers Extra: +50฿, Tofu Extra: +50฿, Tuna Extra: +50฿, Vegetables Extra: +50฿"
"Traditional Italian Pizza";"PIZZA HAM & ARTICHOKES";"พิซซ่าแฮมและอาร์ติโชค";"Tomato Sauce, Olive Oil, Ham, Artichokes, Mozzarella Cheese";"ซอสมะเขือเทศ, น้ำมันมะกอก, แฮม, อาร์ติโชค, ชีสมอซซาเรลล่า";"290";"12"": 290฿, 8"": 190฿";"1 Egg Extra: +20฿, Anchovies Extra: +50฿, Artichoke Extra: +50฿, Bacon Extra: +50฿, Black Olives Extra: +40฿, Capers Extra: +40฿, Chicken Ham Extra: +50฿, Chicken Salame Extra: +50฿, Extra "" Mozzarella Cheese: +50฿, Fresh Tomato Extra: +20฿, Gorgonzola Extra: +50฿, Ham Extra: +50฿, Hotdog Extra: +50฿, Mushrooms Extra: +30฿, Onion/Garlic Extra: +20฿, Parmesan cheese 🧀: +20฿, Pesto Sauce Extra: +60฿, Pineapple Extra: +30฿, Salame Calabrese Extra: +50฿, Salame Extra: +50฿, Sausage Extra: +50฿, Sweet Bell Peppers Extra: +50฿, Tofu Extra: +50฿, Tuna Extra: +50฿, Vegetables Extra: +50฿"
"Traditional Italian Pizza";"PIZZA BACON BISMARK";"พิซซ่าเบคอนบิสมาร์ก";"Tomato Sauce, Olive Oil, Bacon, Egg, Mozzarella Cheese";"ซอสมะเขือเทศ, น้ำมันมะกอก, เบคอน, ไข่, ชีสมอซซาเรลล่า";"270";"12"": 270฿, 8"": 170฿";"1 Egg Extra: +20฿, Anchovies Extra: +50฿, Artichoke Extra: +50฿, Bacon Extra: +50฿, Black Olives Extra: +40฿, Capers Extra: +40฿, Chicken Ham Extra: +50฿, Chicken Salame Extra: +50฿, Extra "" Mozzarella Cheese: +50฿, Fresh Tomato Extra: +20฿, Gorgonzola Extra: +50฿, Ham Extra: +50฿, Hotdog Extra: +50฿, Mushrooms Extra: +30฿, Onion/Garlic Extra: +20฿, Parmesan cheese 🧀: +20฿, Pesto Sauce Extra: +60฿, Pineapple Extra: +30฿, Salame Calabrese Extra: +50฿, Salame Extra: +50฿, Sausage Extra: +50฿, Sweet Bell Peppers Extra: +50฿, Tofu Extra: +50฿, Tuna Extra: +50฿, Vegetables Extra: +50฿"
"Traditional Italian Pizza";"PIZZA HAM & MUSHROOMS";"พิซซ่าแฮมและเห็ด";"Tomato Sauce, Olive Oil, Ham, Mushrooms, Mozzarella";"ซอสมะเขือเทศ, น้ำมันมะกอก, แฮม, เห็ด, ชีสมอซซาเรลล่า";"260";"12"": 260฿, 8"": 170฿";"1 Egg Extra: +20฿, Anchovies Extra: +50฿, Artichoke Extra: +50฿, Bacon Extra: +50฿, Black Olives Extra: +40฿, Capers Extra: +40฿, Chicken Ham Extra: +50฿, Chicken Salame Extra: +50฿, Extra "" Mozzarella Cheese: +50฿, Fresh Tomato Extra: +20฿, Gorgonzola Extra: +50฿, Ham Extra: +50฿, Hotdog Extra: +50฿, Mushrooms Extra: +30฿, Onion/Garlic Extra: +20฿, Parmesan cheese 🧀: +20฿, Pesto Sauce Extra: +60฿, Pineapple Extra: +30฿, Salame Calabrese Extra: +50฿, Salame Extra: +50฿, Sausage Extra: +50฿, Sweet Bell Peppers Extra: +50฿, Tofu Extra: +50฿, Tuna Extra: +50฿, Vegetables Extra: +50฿"
"Traditional Italian Pizza";"PIZZA HAM & SWEET BELL PEPPER";"พิซซ่าแฮมและพริกหวาน";"Tomato Sauce, Olive Oil, Ham, Sweet Bell Peppers, Mozzarella";"ซอสมะเขือเทศ, น้ำมันมะกอก, แฮม, พริกหวาน, ชีสมอซซาเรลล่า";"290";"12"": 290฿, 8"": 190฿";"1 Egg Extra: +20฿, Anchovies Extra: +50฿, Artichoke Extra: +50฿, Bacon Extra: +50฿, Black Olives Extra: +40฿, Capers Extra: +40฿, Chicken Ham Extra: +50฿, Chicken Salame Extra: +50฿, Extra "" Mozzarella Cheese: +50฿, Fresh Tomato Extra: +20฿, Gorgonzola Extra: +50฿, Ham Extra: +50฿, Hotdog Extra: +50฿, Mushrooms Extra: +30฿, Onion/Garlic Extra: +20฿, Parmesan cheese 🧀: +20฿, Pesto Sauce Extra: +60฿, Pineapple Extra: +30฿, Salame Calabrese Extra: +50฿, Salame Extra: +50฿, Sausage Extra: +50฿, Sweet Bell Peppers Extra: +50฿, Tofu Extra: +50฿, Tuna Extra: +50฿, Vegetables Extra: +50฿"
"Traditional Italian Pizza";"PIZZA PESTO";"พิซซ่าเพสโต้";"Pesto Basil Sauce, Olive Oil, Mozzarella Cheese";"ซอสเพสโต้, น้ำมันมะกอก, ชีสมอซซาเรลล่า";"280";"12"": 280฿, 8"": 180฿";"1 Egg Extra: +20฿, Anchovies Extra: +50฿, Artichoke Extra: +50฿, Bacon Extra: +50฿, Black Olives Extra: +40฿, Capers Extra: +40฿, Chicken Ham Extra: +50฿, Chicken Salame Extra: +50฿, Extra "" Mozzarella Cheese: +50฿, Fresh Tomato Extra: +20฿, Gorgonzola Extra: +50฿, Ham Extra: +50฿, Hotdog Extra: +50฿, Mushrooms Extra: +30฿, Onion/Garlic Extra: +20฿, Parmesan cheese 🧀: +20฿, Pesto Sauce Extra: +60฿, Pineapple Extra: +30฿, Salame Calabrese Extra: +50฿, Salame Extra: +50฿, Sausage Extra: +50฿, Sweet Bell Peppers Extra: +50฿, Tofu Extra: +50฿, Tuna Extra: +50฿, Vegetables Extra: +50฿"
"Traditional Italian Pizza";"PIZZA TUNA";"พิซซ่าทูน่า";"Tomato Sauce, Olive Oil, Garlic, Onions, Tuna, Mozzarella";"ซอสมะเขือเทศ, กระเทียม, หัวหอม, ปลาทูน่า, ชีสมอซซาเรลล่า";"280";"12"": 280฿, 8"": 180฿";"1 Egg Extra: +20฿, Anchovies Extra: +50฿, Artichoke Extra: +50฿, Bacon Extra: +50฿, Black Olives Extra: +40฿, Capers Extra: +40฿, Chicken Ham Extra: +50฿, Chicken Salame Extra: +50฿, Extra "" Mozzarella Cheese: +50฿, Fresh Tomato Extra: +20฿, Gorgonzola Extra: +50฿, Ham Extra: +50฿, Hotdog Extra: +50฿, Mushrooms Extra: +30฿, Onion/Garlic Extra: +20฿, Parmesan cheese 🧀: +20฿, Pesto Sauce Extra: +60฿, Pineapple Extra: +30฿, Salame Calabrese Extra: +50฿, Salame Extra: +50฿, Sausage Extra: +50฿, Sweet Bell Peppers Extra: +50฿, Tofu Extra: +50฿, Tuna Extra: +50฿, Vegetables Extra: +50฿"
