Tipo;ID;Parent ID;Nome (EN);Nome (TH);Prezzo;Modificatore Prezzo;SKU;Descrizione (EN);Descrizione (TH);Immagine (URL);Immagine (File);Icona Categoria;Gruppo Extra Abilitati
"Categoria";"traditional-italian-pizza";"";"Traditional Italian Pizza";"พิซซ่าอิตาเลียนแบบดั้งเดิม";"";"";"";"";"";"";"";"🍕";""
"Extra";"10102";"pizza-margherita";"Extra "" Mozzarella Cheese";"ชีสมอซซาเรลล่าเพิ่ม";"50";"";"10102";"";"";"";"";"";""
"Extra";"10191";"pizza-margherita";"Fresh Tomato Extra";"มะเขือเทศสดเพิ่ม";"20";"";"10191";"";"";"";"";"";""
"Extra";"10118";"pizza-margherita";"Gorgonzola Extra";"ชีสกอร์กอนโซล่าเพิ่ม";"50";"";"10118";"";"";"";"";"";""
"Extra";"10113";"pizza-margherita";"Ham Extra";"แฮมเพิ่ม";"50";"";"10113";"";"";"";"";"";""
"Extra";"10236";"pizza-margherita";"Hotdog Extra";"ฮอทดอกเพิ่ม";"50";"";"10236";"";"";"";"";"";""
"Extra";"10094";"pizza-margherita";"Mushrooms Extra";"เห็ดเพิ่ม";"30";"";"10094";"";"";"";"";"";""
"Extra";"10068";"pizza-margherita";"Onion/Garlic Extra";"หอมใหญ่/กระเทียมเพิ่ม";"20";"";"10068";"";"";"";"";"";""
"Extra";"10171";"pizza-margherita";"Parmesan cheese 🧀";"พาร์เมซานชีสเพิ่ม";"20";"";"10171";"";"";"";"";"";""
"Extra";"10062";"pizza-margherita";"Pesto Sauce Extra";"ซอสเพสโต้เพิ่ม";"60";"";"10062";"";"";"";"";"";""
"Extra";"10095";"pizza-margherita";"Pineapple Extra";"สับปะรดเพิ่ม";"30";"";"10095";"";"";"";"";"";""
"Extra";"10088";"pizza-margherita";"Salame Calabrese Extra";"ซาลามี่คาลาเบรียเพิ่ม";"50";"";"10088";"";"";"";"";"";""
"Extra";"10087";"pizza-margherita";"Salame Extra";"ซาลามี่เพิ่ม";"50";"";"10087";"";"";"";"";"";""
"Extra";"10086";"pizza-margherita";"Sausage Extra";"ไส้กรอกเพิ่ม";"50";"";"10086";"";"";"";"";"";""
"Extra";"10107";"pizza-margherita";"Sweet Bell Peppers Extra";"พริกหวานเพิ่ม";"50";"";"10107";"";"";"";"";"";""
"Extra";"10172";"pizza-margherita";"Tofu Extra";"เต้าหู้เพิ่ม";"50";"";"10172";"";"";"";"";"";""
"Extra";"10120";"pizza-margherita";"Tuna Extra";"ทูน่าเพิ่ม";"50";"";"10120";"";"";"";"";"";""
"Extra";"10100";"pizza-margherita";"Vegetables Extra";"ผักเพิ่ม";"50";"";"10100";"";"";"";"";"";""
"Piatto";"pizza-sweet-bell-pepper-vegan";"traditional-italian-pizza";"PIZZA SWEET BELL PEPPER Vegan";"พิซซ่าพริกหวานมังสวิรัติ";"230";"";"";"Tomato Sauce, Olive Oil, Sweet Bell Peppers";"ซอสมะเขือเทศ, น้ำมันมะกอก, พริกหวาน";"https://gjqevgkbjkharczhikcl.supabase.co/storage/v1/object/public/delivery_food/01-Pizza/03-pizza-sweet-bell-pepper-vegan.webp";"01-Pizza/03-pizza-sweet-bell-pepper-vegan.webp";"";"Pizza Extras"
"Variante";"10002";"pizza-sweet-bell-pepper-vegan";"12""";"12""";"230";"0";"10002";"";"";"";"";"";""
"Variante";"10234";"pizza-sweet-bell-pepper-vegan";"8""";"8""";"130";"-100";"10234";"";"";"";"";"";""
"Extra";"10122";"pizza-sweet-bell-pepper-vegan";"1 Egg Extra";"ไข่ไก่เพิ่ม";"20";"";"10122";"";"";"";"";"";""
"Extra";"10285";"pizza-sweet-bell-pepper-vegan";"Anchovies Extra";"แองโชวี่เพิ่ม";"50";"";"10285";"";"";"";"";"";""
"Extra";"10096";"pizza-sweet-bell-pepper-vegan";"Artichoke Extra";"อาร์ติโชคเพิ่ม";"50";"";"10096";"";"";"";"";"";""
"Extra";"10111";"pizza-sweet-bell-pepper-vegan";"Bacon Extra";"เบคอนเพิ่ม";"50";"";"10111";"";"";"";"";"";""
"Extra";"10138";"pizza-sweet-bell-pepper-vegan";"Black Olives Extra";"มะกอกดำเพิ่ม";"40";"";"10138";"";"";"";"";"";""
"Extra";"10121";"pizza-sweet-bell-pepper-vegan";"Capers Extra";"เคเปอร์เพิ่ม";"40";"";"10121";"";"";"";"";"";""
"Extra";"10129";"pizza-sweet-bell-pepper-vegan";"Chicken Ham Extra";"แฮมไก่เพิ่ม";"50";"";"10129";"";"";"";"";"";""
"Extra";"10141";"pizza-sweet-bell-pepper-vegan";"Chicken Salame Extra";"ซาลามี่ไก่เพิ่ม";"50";"";"10141";"";"";"";"";"";""
"Extra";"10102";"pizza-sweet-bell-pepper-vegan";"Extra "" Mozzarella Cheese";"ชีสมอซซาเรลล่าเพิ่ม";"50";"";"10102";"";"";"";"";"";""
"Extra";"10191";"pizza-sweet-bell-pepper-vegan";"Fresh Tomato Extra";"มะเขือเทศสดเพิ่ม";"20";"";"10191";"";"";"";"";"";""
"Extra";"10118";"pizza-sweet-bell-pepper-vegan";"Gorgonzola Extra";"ชีสกอร์กอนโซล่าเพิ่ม";"50";"";"10118";"";"";"";"";"";""
"Extra";"10113";"pizza-sweet-bell-pepper-vegan";"Ham Extra";"แฮมเพิ่ม";"50";"";"10113";"";"";"";"";"";""
"Extra";"10236";"pizza-sweet-bell-pepper-vegan";"Hotdog Extra";"ฮอทดอกเพิ่ม";"50";"";"10236";"";"";"";"";"";""
"Extra";"10094";"pizza-sweet-bell-pepper-vegan";"Mushrooms Extra";"เห็ดเพิ่ม";"30";"";"10094";"";"";"";"";"";""
"Extra";"10068";"pizza-sweet-bell-pepper-vegan";"Onion/Garlic Extra";"หอมใหญ่/กระเทียมเพิ่ม";"20";"";"10068";"";"";"";"";"";""
"Extra";"10171";"pizza-sweet-bell-pepper-vegan";"Parmesan cheese 🧀";"พาร์เมซานชีสเพิ่ม";"20";"";"10171";"";"";"";"";"";""
"Extra";"10062";"pizza-sweet-bell-pepper-vegan";"Pesto Sauce Extra";"ซอสเพสโต้เพิ่ม";"60";"";"10062";"";"";"";"";"";""
"Extra";"10095";"pizza-sweet-bell-pepper-vegan";"Pineapple Extra";"สับปะรดเพิ่ม";"30";"";"10095";"";"";"";"";"";""
"Extra";"10088";"pizza-sweet-bell-pepper-vegan";"Salame Calabrese Extra";"ซาลามี่คาลาเบรียเพิ่ม";"50";"";"10088";"";"";"";"";"";""
"Extra";"10087";"pizza-sweet-bell-pepper-vegan";"Salame Extra";"ซาลามี่เพิ่ม";"50";"";"10087";"";"";"";"";"";""
"Extra";"10086";"pizza-sweet-bell-pepper-vegan";"Sausage Extra";"ไส้กรอกเพิ่ม";"50";"";"10086";"";"";"";"";"";""
"Extra";"10107";"pizza-sweet-bell-pepper-vegan";"Sweet Bell Peppers Extra";"พริกหวานเพิ่ม";"50";"";"10107";"";"";"";"";"";""
"Extra";"10172";"pizza-sweet-bell-pepper-vegan";"Tofu Extra";"เต้าหู้เพิ่ม";"50";"";"10172";"";"";"";"";"";""
"Extra";"10120";"pizza-sweet-bell-pepper-vegan";"Tuna Extra";"ทูน่าเพิ่ม";"50";"";"10120";"";"";"";"";"";""
